danceability,energy,valence,tempo
0.557,0.0621,0.529,0.334458558
0.499,0.935,0.769,0.767025178
0.858,0.846,0.669,0.502223755
0.445,0.927,0.449,0.384329814
0.59,0.846,0.486,0.698201694
0.202,0.989,0.0356,0.439987351
0.859,0.404,0.664,0.427043165
0.463,0.346,0.509,0.592718074
0.793,0.774,0.718,0.465029753
0.308,0.974,0.393,0.677664297
0.559,0.805,0.563,0.514268584
0.637,0.156,0.546,0.523927444
0.869,0.53,0.495,0.407224433
0.272,0.94,0.248,0.395315124
0.447,0.215,0.177,0.295593145
0.281,0.952,0.147,0.538715519
0.53,0.905,0.373,0.415992148
0.516,0.881,0.688,0.367430916
0.687,0.831,0.357,0.419790807
0.562,0.741,0.85,0.612487526
0.5,0.976,0.326,0.372346586
0.765,0.533,0.756,0.430677558
0.135,0.202,0.234,0.286579031
0.142,0.133,0.0395,0.228675151
0.649,0.749,0.688,0.441001696
0.45,0.345,0.507,0.380584542
0.455,0.77,0.471,0.750483559
0.47,0.394,0.622,0.765000595
0.657,0.508,0.485,0.492971455
0.695,0.863,0.863,0.422505308
0.711,0.832,0.904,0.571634491
0.55,0.472,0.391,0.459378991
0.726,0.458,0.504,0.427334738
0.797,0.32,0.605,0.526728184
0.389,0.381,0.178,0.370621789
0.654,0.884,0.966,0.512794293
0.687,0.535,0.8,0.481776705
0.584,0.789,0.547,0.485439844
0.659,0.733,0.665,0.495895395
0.394,0.967,0.398,0.43899354
0.611,0.264,0.42,0.745686982
0.667,0.384,0.518,0.423421093
0.362,0.846,0.321,0.364901214
0.654,0.924,0.506,0.415404896
0.723,0.438,0.59,0.384670667
0.375,0.564,0.32,0.753637472
0.548,0.347,0.498,0.483558994
0.433,0.947,0.251,0.409943041
0.733,0.399,0.946,0.396448562
0.689,0.707,0.455,0.499509254
0.236,0.856,0.376,0.345632774
0.644,0.829,0.863,0.616910397
0.765,0.5,0.926,0.443609424
0.515,0.461,0.864,0.34461843
0.638,0.472,0.188,0.643710448
0.829,0.564,0.868,0.392161211
0.519,0.975,0.348,0.508194836
0.285,0.0312,0.0945,0.392341904
0.885,0.368,0.388,0.407569392
0.177,0.125,0.172,0.358474294
0.286,0.82,0.186,0.618815886
0.509,0.328,0.477,0.498392243
0.503,0.959,0.618,0.534645821
0.442,0.391,0.729,0.640154082
0.636,0.801,0.908,0.513328159
0.898,0.525,0.966,0.461087361
0.531,0.953,0.237,0.443954383
0.774,0.606,0.853,0.489628635
0.478,0.39,0.377,0.748766976
0.139,0.154,0.161,0.753748352
0.562,0.406,0.489,0.672789694
0.474,0.42,0.23,0.485858723
0.545,0.388,0.848,0.763637185
0.485,0.418,0.665,0.444225423
0.492,0.864,0.759,0.417585531
0.568,0.348,0.436,0.337776737
0.438,0.279,0.274,0.521307396
0.823,0.603,0.564,0.405516063
0.771,0.457,0.675,0.651143499
0.708,0.456,0.962,0.394382913
0.288,0.911,0.139,0.365923772
0.49,0.328,0.593,0.718496799
0.53,0.964,0.323,0.323005088
0.284,0.949,0.231,0.380079423
0.377,0.115,0.112,0.29501
0.733,0.366,0.555,0.415675935
0.389,0.372,0.614,0.330655792
0.205,0.0815,0.126,0.283429224
0.193,0.557,0.176,0.653032562
0.51,0.96,0.749,0.361344848
0.841,0.742,0.962,0.504240125
0.359,0.822,0.749,0.666917173
0.458,0.981,0.545,0.422472455
0.434,0.0905,0.152,0.466356203
0.552,0.644,0.445,0.45201986
0.839,0.644,0.812,0.477760393
0.435,0.22,0.285,0.398674371
0.601,0.466,0.165,0.45171186
0.437,0.354,0.396,0.57068996
0.477,0.15,0.365,0.294903227
0.36,0.697,0.634,0.619949324
0.493,0.947,0.459,0.5353111
0.608,0.383,0.369,0.452479806
0.807,0.503,0.712,0.492872895
0.332,0.981,0.101,0.440398017
0.619,0.51,0.541,0.33332512
0.256,0.547,0.0647,0.313904734
0.347,0.822,0.63,0.622327079
0.467,0.242,0.422,0.329000809
0.654,0.605,0.708,0.460672588
0.58,0.858,0.691,0.574086166
0.349,0.445,0.425,0.582393935
0.663,0.733,0.528,0.440693697
0.659,0.768,0.867,0.506338627
0.183,0.99,0.038,0.338951242
0.617,0.568,0.949,0.503320233
0.643,0.441,0.851,0.649759555
0.543,0.224,0.284,0.335205969
0.712,0.559,0.741,0.412452209
0.437,0.803,0.97,0.778174755
0.476,0.513,0.275,0.368884673
0.462,0.41,0.124,0.534005183
0.518,0.806,0.662,0.531668494
0.348,0.47,0.435,0.212667398
0.595,0.568,0.383,0.363357111
0.773,0.341,0.613,0.404300492
0.685,0.924,0.751,0.529820498
0.328,0.0631,0.156,0.346162533
0.447,0.609,0.255,0.49038426
0.482,0.473,0.66,0.331000752
0.498,0.535,0.345,0.63950523
0.414,0.379,0.883,0.686132226
0.516,0.526,0.768,0.708024821
0.58,0.943,0.561,0.514584796
0.586,0.917,0.892,0.496507287
0.639,0.38,0.231,0.400941246
0.773,0.264,0.707,0.506502893
0.139,0.0676,0.0376,0.358437334
0.719,0.423,0.967,0.410415306
0.26,0.0913,0.0336,0.590241759
0.922,0.61,0.872,0.385763038
0.681,0.69,0.494,0.426846045
0.239,0.94,0.148,0.502256609
0.802,0.68,0.879,0.492729162
0.637,0.934,0.519,0.513406185
0.598,0.882,0.862,0.552842423
0.233,0.316,0.169,0.28194672
0.412,0.511,0.505,0.661566197
0.708,0.604,0.632,0.492388309
0.533,0.615,0.904,0.709815324
0.606,0.89,0.945,0.572057477
0.763,0.505,0.96,0.433794511
0.724,0.566,0.665,0.362231887
0.529,0.295,0.623,0.646626175
0.369,0.326,0.763,0.856053419
0.363,0.186,0.0754,0.36212922
0.374,0.85,0.348,0.516601165
0.804,0.842,0.426,0.479012924
0.632,0.453,0.86,0.63632257
0.441,0.387,0.554,0.312882176
0.6,0.551,0.776,0.340544625
0.686,0.58,0.6,0.378268387
0.26,0.32,0.126,0.326454681
0.0823,0.0507,0.0575,0.699782758
0.8,0.48,0.647,0.380013716
0.537,0.37,0.709,0.752951661
0.359,0.106,0.158,0.359316159
0.605,0.857,0.554,0.480840387
0.559,0.83,0.622,0.388029913
0.708,0.517,0.816,0.582188602
0.507,0.988,0.482,0.413733486
0.498,0.276,0.145,0.339164788
0.286,0.837,0.315,0.438225595
0.56,0.239,0.601,0.828197957
0.637,0.626,0.485,0.698004575
0.734,0.73,0.834,0.805566164
0.813,0.531,0.604,0.525097841
0.547,0.445,0.541,0.31580201
0.66,0.669,0.798,0.49686046
0.528,0.965,0.902,0.584434944
0.522,0.0287,0.152,0.455896545
0.672,0.726,0.939,0.446578538
0.417,0.461,0.233,0.597013638
0.465,0.371,0.302,0.314771239
0.783,0.848,0.793,0.439223513
0.616,0.382,0.886,0.649767768
0.549,0.574,0.411,0.61548128
0.669,0.802,0.506,0.48560411
0.711,0.365,0.547,0.473859068
0.585,0.0465,0.412,0.540871515
0.465,0.0839,0.46,0.25475243
0.295,0.994,0.0678,0.393914754
0.443,0.192,0.113,0.576829414
0.148,0.881,0.51,0.664173925
0.54,0.71,0.481,0.493197321
0.823,0.402,0.495,0.512055095
0.272,0.979,0.872,0.625674005
0.63,0.596,0.958,0.709359485
0.466,0.487,0.795,0.83002542
0.495,0.853,0.703,0.533019585
0.132,0.17,0.102,0.317415926
0.303,0.303,0.288,0.580570579
0.474,0.655,0.741,0.48389574
0.623,0.586,0.546,0.438927834
0.347,0.587,0.522,0.468869478
0.869,0.531,0.949,0.385167572
0.295,0.933,0.372,0.529931378
0.542,0.401,0.764,0.519779719
0.498,0.952,0.928,0.37823964
0.56,0.356,0.769,0.534641715
0.0744,0.0836,0.0394,0.328963849
0.508,0.305,0.577,0.356724858
0.777,0.521,0.638,0.593149273
0.339,0.863,0.271,0.42167987
0.668,0.874,0.91,0.462910717
0.418,0.576,0.489,0.680596451
0.384,0.455,0.481,0.738389451
0.733,0.872,0.806,0.475555118
0.726,0.707,0.962,0.497517525
0.444,0.335,0.275,0.587621711
0.519,0.642,0.401,0.449391599
0.489,0.88,0.425,0.328241077
0.417,0.681,0.257,0.764815796
0.209,0.237,0.123,0.562776429
0.529,0.747,0.189,0.555446045
0.408,0.507,0.109,0.333407253
0.122,0.866,0.24,0.706792823
0.537,0.557,0.444,0.489624528
0.499,0.892,0.228,0.487866879
0.624,0.751,0.708,0.395105685
0.171,0.00372,0.0663,0.479879429
0.785,0.481,0.968,0.548785045
0.445,0.99,0.352,0.492593642
0.14,0.158,0.0998,0.27553212
0.686,0.794,0.748,0.369398005
0.597,0.72,0.598,0.507788277
0.706,0.695,0.814,0.407791152
0.483,0.403,0.362,0.304771526
0.573,0.295,0.392,0.373755169
0.501,0.932,0.347,0.45203218
0.473,0.179,0.583,0.467337695
0.684,0.661,0.653,0.45682465
0.272,0.275,0.444,0.304500487
0.0821,0.166,0.0756,0.319617095
0.574,0.521,0.381,0.568472364
0.469,0.216,0.543,0.363488524
0.711,0.262,0.647,0.532571959
0.414,0.827,0.508,0.390506228
0.661,0.485,0.898,0.428004123
0.679,0.94,0.283,0.432086141
0.205,0.316,0.154,0.320003121
0.496,0.423,0.391,0.554193514
0.477,0.652,0.816,0.595449001
0.329,0.0238,0.28,0.537894188
0.708,0.467,0.963,0.331686563
0.339,0.619,0.656,0.632503378
0.508,0.903,0.504,0.547282008
0.159,0.914,0.0833,0.661369078
0.326,0.883,0.224,0.503550206
0.495,0.368,0.26,0.562300057
0.435,0.612,0.296,0.36226474
0.136,0.0776,0.0393,0.586697713
0.547,0.519,0.552,0.311383246
0.435,0.0101,0.211,0.313140895
0.536,0.23,0.125,0.300574521
0.544,0.371,0.534,0.770540477
0.752,0.778,0.543,0.444857848
0.757,0.462,0.58,0.379069185
0.157,0.0214,0.0353,0.414094872
0.34,0.988,0.66,0.632318578
0.572,0.838,0.575,0.513492425
0.543,0.411,0.874,0.66843253
0.81,0.93,0.969,0.465423992
0.329,0.0603,0.241,0.60918988
0.301,0.105,0.264,0.420989951
0.978,0.837,0.966,0.493291774
0.66,0.462,0.57,0.380128703
0.776,0.69,0.694,0.472425844
0.649,0.537,0.492,0.422304082
0.541,0.882,0.701,0.495998062
0.454,0.725,0.336,0.613830403
0.607,0.784,0.643,0.459415951
0.428,0.682,0.122,0.535031847
0.591,0.81,0.814,0.429749453
0.34,0.883,0.679,0.770047678
