id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
0cS0A1fUEUd1EW3FcF8AEI,0.991,0.598,0.224,0.03063657,0.000522,0.634,0.61590016,0.379,0.7418683,0.0936,0.45454545
0hbkKFIJm7Z05H8Zl9w30f,0.643,0.852,0.517,0.02723665,0.0264,0.95,0.35682342,0.0809,0.8259181,0.0534,0.45454545
11m7laMUgmOKqI3oYzuhne,0.993,0.647,0.186,0.0297917,1.76E-05,0.689,0.40080983,0.519,0.75016835,0.174,0
19Lc5SfJJ5O1oaxY0fpwfh,0.000173,0.73,0.798,0.07821516,0.801,0.0422,0.52563992,0.128,0.82513507,0.0425,0.18181818
2hJjbsLCytGsnAHfdsLejp,0.295,0.704,0.707,0.03005363,0.000246,0.299,0.5013244,0.402,0.84510218,0.0768,0.90909091
3HnrHGLE9u2MjHtdobfWl9,0.996,0.424,0.245,0.03631666,0.799,0.477,0.42655858,0.235,0.76000313,0.0397,0.45454545
5DlCyqLyX2AOVDTjjkDZ8x,0.992,0.782,0.0573,0.0356741,1.61E-06,0.487,0.35174348,0.176,0.74460888,0.0592,0.45454545
02FzJbHtqElixxCmrpSCUa,0.996,0.474,0.239,0.03398155,0.186,0.366,0.32353895,0.195,0.78753426,0.0289,0.81818182
02i59gYdjlhBmbbWhf8YuK,0.996,0.469,0.238,0.02660665,0.96,0.621,0.53411196,0.149,0.64651163,0.0741,0.72727273
06NUxS2XL3efRh0bloxkHm,0.00682,0.571,0.753,0.08838079,0.873,0.119,0.52151684,0.092,0.83089813,0.0446,0.72727273
07jrRR1CUUoPb1FLfSy9Jh,0.952,0.688,0.22,0.02721171,0,0.414,0.33684453,0.262,0.70146425,0.845,0.54545455
0ANuF7SvPeIHanGcCpy9jR,0.996,0.579,0.356,0.03042657,0.948,0.703,0.5400009,0.174,0.711393,0.0394,0.90909091
0BEO6nHi1rmTOPiEZvCIDW,0.992,0.353,0.396,0.05264406,0.924,0.566,0.45693964,0.312,0.71955211,0.0447,0.09090909
0DH1IROKoPK5XTglUt9Pq0,0.00478,0.643,0.998,0.0560886,0.476,0.639,0.50929953,0.105,0.8437867,0.0566,0.09090909
0HVjPaxbyfFcg8Rh0plyo5,0.993,0.453,0.41,0.04698403,0.16,0.894,0.276259,0.292,0.77567927,0.044,0.18181818
0Hn7LWy1YcKhPaA2NItG9K,0.979,0.525,0.433,0.04748034,0.111,0.792,0.42125278,0.134,0.76069219,0.0488,0.18181818
0I6DjrEfd3fKFESHEjnelr,0.972,0.528,0.325,0.05114651,0.0234,0.146,0.4868936,0.102,0.74374755,0.0421,1
0KGiP9EW1xtojDHsTGARL5,0.996,0.468,0.533,0.03234168,0.87,0.728,0.56085862,0.179,0.76733224,0.0452,0.09090909
0KNI2d7l3ByVHU0g2aW3P0,0.75,0.528,0.456,0.05135145,0.439,0.493,0.46330085,0.102,0.74933834,0.0371,0.18181818
0LYNwxHYHPW256lO2phedM,0.993,0.397,0.484,0.04747903,0.179,0.515,0.26892451,0.327,0.75339441,0.0498,0.45454545
